타임스탬프,이메일 주소,1. 본인의 성명을 입력해주십시오.,2. 본인의 학번을 입력해 주십시오,3. 본인의 학년 또는 지위를 선택해 주십시오.,4. 1지망~3지망 지정좌석을 각각 선택해 주십시오. [1지망],4. 1지망~3지망 지정좌석을 각각 선택해 주십시오. [2지망],4. 1지망~3지망 지정좌석을 각각 선택해 주십시오. [3지망]
1/11/2000 12:00,isi7kznx2x@snu.ac.kr,최컨앙,1111-11111,2학년,15동 401호(평상),15동 401호(칸막이),법오 골방(칸막이)
1/12/2000 12:00,u6z26hh8wd@snu.ac.kr,박던하,1111-11112,2학년,법오 큰방(칸막이),15동 401호(평상),역사관(평상)
1/13/2000 12:00,mso9qga7wp@snu.ac.kr,문납누,1111-11113,2학년,역사관(평상),국산(칸막이),15동 404호(칸막이)
1/14/2000 12:00,zer1rapmt5@snu.ac.kr,이힝닉,1111-11114,2학년,법오 큰방(칸막이),법오 골방(칸막이),국산(칸막이)
1/15/2000 12:00,a6bk2lzpui@snu.ac.kr,김긴걸,1111-11115,3학년,법오 큰방(평상),법오 큰방(칸막이),15동 401호(칸막이)
1/16/2000 12:00,h0nlsaj6oi@snu.ac.kr,최퐁손,1111-11116,3학년,국산(칸막이),법오 큰방(평상),15동 401호(칸막이)
1/17/2000 12:00,uuaf9dw9u1@snu.ac.kr,이람팅,1111-11117,2학년,역사관(평상),15동 401호(칸막이),법오 큰방(칸막이)
1/18/2000 12:00,2ua6xt6hep@snu.ac.kr,문나삼,1111-11118,3학년,국산(칸막이),법오 작은방(평상),15동 401호(칸막이)
1/19/2000 12:00,28b0uiej48@snu.ac.kr,박헝키,1111-11119,3학년,법오 큰방(평상),법오 골방(칸막이),법오 큰방(칸막이)
1/20/2000 12:00,mn5v983kg5@snu.ac.kr,최구할,1111-11120,3학년,국산(칸막이),법오 큰방(평상),법오 작은방(평상)
1/21/2000 12:00,fjhydhhx3f@snu.ac.kr,양등몬,1111-11121,3학년,15동 401호(평상),15동 401호(칸막이),법오 골방(칸막이)
1/22/2000 12:00,ov22y5y6ek@snu.ac.kr,한티륵,1111-11122,2학년,법오 큰방(칸막이),역사관(평상),15동 401호(칸막이)
1/23/2000 12:00,riu8xuqxsx@snu.ac.kr,강극탑,1111-11123,3학년,법오 큰방(평상),15동 401호(칸막이),국산(칸막이)
1/24/2000 12:00,z4d0yex883@snu.ac.kr,최널낫,1111-11124,3학년,역사관(평상),법오 골방(칸막이),15동 404호(칸막이)
1/25/2000 12:00,py86c1wx9v@snu.ac.kr,이컨늘,1111-11125,3학년,법오 큰방(평상),법오 큰방(칸막이),15동 404호(칸막이)
1/26/2000 12:00,a2wb9e5bw5@snu.ac.kr,한탁슨,1111-11126,2학년,법오 골방(칸막이),15동 404호(칸막이),법오 골방(칸막이)
1/27/2000 12:00,lmyepe180n@snu.ac.kr,김지믐,1111-11127,3학년,법오 큰방(평상),국산(칸막이),법오 작은방(평상)
