타임스탬프,1. 본인의 성명을 입력해주십시오.,2. 본인의 학번을 입력해 주십시오,3. 본인의 학년 또는 지위를 선택해 주십시오.,4. 1지망~3지망 지정좌석을 각각 선택해 주십시오. [1지망],4. 1지망~3지망 지정좌석을 각각 선택해 주십시오. [2지망],4. 1지망~3지망 지정좌석을 각각 선택해 주십시오. [3지망]
1/11/2000 12:00,최컨앙,1111-11111,2학년,15동 401호(칸막이),15동 401호(칸막이),법오 골방(칸막이)
1/12/2000 12:00,박던하,1111-11112,2학년,법오 큰방(칸막이),서암(평상),서암(평상)
1/13/2000 12:00,문납누,1111-11113,2학년,서암(평상),국산(칸막이),15동 404호(칸막이)
1/14/2000 12:00,이힝닉,1111-11114,2학년,법오 큰방(칸막이),법오 골방(칸막이),국산(칸막이)
1/15/2000 12:00,김긴걸,1111-11115,3학년,법오 큰방(평상),법오 큰방(칸막이),15동 401호(칸막이)
1/16/2000 12:00,최퐁손,1111-11116,3학년,국산(칸막이),법오 큰방(평상),15동 401호(칸막이)
1/17/2000 12:00,이람팅,1111-11117,2학년,서암(평상),15동 401호(칸막이),법오 큰방(칸막이)
1/18/2000 12:00,문나삼,1111-11118,3학년,국산(칸막이),법오 작은방(평상),15동 401호(칸막이)
1/19/2000 12:00,박헝키,1111-11119,3학년,법오 큰방(평상),법오 골방(칸막이),법오 큰방(칸막이)
1/20/2000 12:00,최구할,1111-11120,3학년,국산(칸막이),법오 큰방(평상),법오 작은방(평상)
1/21/2000 12:00,양등몬,1111-11121,3학년,15동 401호(칸막이),15동 401호(칸막이),법오 골방(칸막이)
1/22/2000 12:00,한티륵,1111-11122,2학년,법오 큰방(칸막이),서암(평상),15동 401호(칸막이)
1/23/2000 12:00,강극탑,1111-11123,3학년,법오 큰방(평상),15동 401호(칸막이),국산(칸막이)
1/24/2000 12:00,최널낫,1111-11124,3학년,서암(평상),법오 골방(칸막이),15동 404호(칸막이)
1/25/2000 12:00,이컨늘,1111-11125,3학년,법오 큰방(평상),법오 큰방(칸막이),15동 404호(칸막이)
1/26/2000 12:00,한탁슨,1111-11126,2학년,법오 골방(칸막이),15동 404호(칸막이),법오 골방(칸막이)
1/27/2000 12:00,김지믐,1111-11127,3학년,법오 큰방(평상),국산(칸막이),법오 작은방(평상)
1/28/2000 12:00,양름잡,1111-11128,3학년,서암(평상),법오 큰방(칸막이),법오 큰방(칸막이)
1/29/2000 12:00,강틀팍,1111-11129,3학년,서암(평상),서암(평상),법오 큰방(칸막이)
1/30/2000 12:00,김틸락,1111-11130,2학년,국산(칸막이),법오 작은방(평상),15동 401호(칸막이)
1/31/2000 12:00,김즐킥,1111-11131,2학년,법오 작은방(평상),법오 작은방(평상),법오 골방(칸막이)
2/1/2000 12:00,문거즌,1111-11132,3학년,법오 큰방(평상),서암(평상),법오 큰방(칸막이)
